tweet_id,tweet_text,tweet_label,rationale_label
592282197719023616',Dozens of Australians missing in Nepal after earthquake http://t.co/tKNBXjSY4H via @ABCNews,affected_people_and_evacuations,Dozens of Australians missing
592690177681825794',"RT @BhavnaInsan7: Mobile hospital,Food,Doctors being sent to nepal by @derasachasauda under the guidance of Guruji @Gurmeetramrahim  #MSGHe…",rescue_volunteering_and_donation_effort,"Mobile hospital,Food,Doctors being sent to nepal"
592342818372329472',"RT @TheAtlanticFOTO: Nepal After the Earthquake - 27 photos, immediate aftermath of the devastating 7.8 quake: http://t.co/pbM9UKxppw http:…",other_useful_information,Nepal After the Earthquake [SEP]immediate aftermath of the devastating 7.8 quake
593060164753870848',#NepalQuake  More than 4600 killed - the government declares three days of mourning     RW,injured_or_dead_people,More than 4600 killed
592690229166866432',My friend is in Red Cross and currently in Nepal helping out the locals. The locals are staying strong and smiling. http://t.co/mXoPPNM30B,rescue_volunteering_and_donation_effort,My friend is in Red Cross and currently in Nepal helping out the locals
592877872538324993',RT @RevolutionMonk: #VultureEvangelists Most disgusting creature on earth. MSM wont show this side of 'em #SoulVultures #NepalEarthquake ht…,not_related_or_irrelevant,RT @RevolutionMonk: #VultureEvangelists Most disgusting creature on earth. MSM wont show this side of 'em #SoulVultures #NepalEarthquake ht…
593832096285626370',Its an hour of agrarian crisis in India. Still sending optimum relief to Nepal. #PowerfulPM @narendramodi #NAMO #NepalEarthquake #JaiHind,rescue_volunteering_and_donation_effort,Still sending optimum relief to Nepal
592299159929094145',As aftershocks continue in #Nepal many families will spend 2nd night in fear of building collapse &amp; sleep out in the cold w/ their children,affected_people_and_evacuations,many families will spend 2nd night in fear of building collapse &amp; sleep out in the cold w/ their children
592342064488128512',Deadly Earthquake in Nepal http://t.co/ci9u4QsC3B,other_useful_information,Deadly Earthquake in Nepal
592133076655812608',RT @ahmadesseily: Even the biggest monutain on earth got angry! #NepalQuake,not_related_or_irrelevant,RT @ahmadesseily: Even the biggest monutain on earth got angry! #NepalQuake
592277989800284160',RT @dna: Earthquake aftershocks in Nepal. 6.7 in magnitude\ntremors across Northern India\n\nhttp://t.co/JkKiBn5Kzn http://t.co/hAzuvfmKk9,other_useful_information,RT @dna: Earthquake aftershocks in Nepal. 6.7 in magnitude\ntremors across Northern India
593294940999823362',Opposition leader Ro Teimumu Kepa today called on the people of Fiji to unite in prayer for the people of Nepal.... http://t.co/fZ9XAQUkYQ,not_related_or_irrelevant,Opposition leader Ro Teimumu Kepa today called on the people of Fiji to unite in prayer for the people of Nepal.... http://t.co/fZ9XAQUkYQ
592994736631218176',RT @BJPLucknowBJP: Boundary Wall of Kathmandu Airport damaged in #NepalEarthquake http://t.co/eOrSPuKmU9,infrastructure_and_utilities_damage,Boundary Wall of Kathmandu Airport damaged
591933435704258560',"RT @HeadlinesToday: C 17 Globemaster III takes off from Hindon air base in UP for Kathmandu, IL76 to take NDRF teams to Nepal #earthquake",rescue_volunteering_and_donation_effort,"C 17 Globemaster III takes off from Hindon air base in UP for Kathmandu, IL76 to take NDRF teams to Nepal"
592289897211236352',@MEAcontrolroom there is a sea of about 1500 indian people at the airport in Kathmandu. What's the plan for bringing them home?,affected_people_and_evacuations,a sea of about 1500 indian people at the airport 
592293311316000768',Scots climber trapped up Mount Everest following Nepal disaster \nhttp://t.co/wlfulJSkJj http://t.co/1Zy2FZjppc,affected_people_and_evacuations,Scots climber trapped 
592342680144719873',"RT @KiranKS: 20,000 @RSSorg swayamsevaks in Nepal assisting #NepalEarthquake victims.  Unlike #SoulVultures, no conversion here! http://t.c…",rescue_volunteering_and_donation_effort,"20,000 @RSSorg swayamsevaks in Nepal assisting #NepalEarthquake victims"
592277963904839681',"RT @MalteserInt: ""The hospitals are overflowing... Some people are digging in the rubble with their bare hands."" #NepalEarthquake  http://t…",rescue_volunteering_and_donation_effort,The hospitals are overflowing
593362784206725121',Before and after pictures of the Nepal earthquake https://t.co/POdRnQMoPU via @YahooScreen,other_useful_information,Before and after pictures of the Nepal earthquake
