tweet_id,tweet_text,label,corrected_label,informative_content,corrected_label_1,informative_content_1,confusing_cases
540790921319571457',RT @ABSCBNNews: Massive evacuation as #RubyPH bears down on PH http://t.co/15rOv4vI5N,displaced_people_and_evacuations,affected_people_and_evacuations,Massive evacuation,,,
542103154821971968',Thousands flee Typhoon Hagupit,displaced_people_and_evacuations,affected_people_and_evacuations,Thousands flee,,,
541023074217259008',"RT @rapplerdotcom: Leyte residents seek shelter in churches, schools, and evacuation centers as #RubyPH approaches. http://t.co/PMZ1L5O5eC",affected_people_and_evacuations,affected_people_and_evacuations,"Leyte residents seek shelter in churches, schools, and evacuation centers",,,
540773890637959168',"UPDATED: Over 2,000 passengers stranded at seaports http://t.co/MXmF9V4j9f\n#RubyPH http://t.co/hp2f7AeMJm",affected_people_and_evacuations,affected_people_and_evacuations,"Over 2,000 passengers stranded",,,
541061356704002048',"About 616,000 Filipinos evacuate to avoid category 4 Typhoon #Hagupit, among the largest peacetime evacuations ever. http://t.co/uGsS4TC2pR",affected_people_and_evacuations,affected_people_and_evacuations,"About 616,000 Filipinos evacuate ",,,
540851269200400384',"As of 8:30 p.m. tonight, some evacuation centers in Talisay City are already packed with evacuees, says @piotalisay #RubyPH @sunstarcebu",affected_people_and_evacuations,affected_people_and_evacuations,some evacuation centers in Talisay City are already packed with evacuees,,,
540145755936133120',Earth Changes: Philippines residents evacuating ahead of typhoon Hagupit: The Philippine government on Wednesd... http://t.co/St6Pxxydn3,affected_people_and_evacuations,affected_people_and_evacuations,Philippines residents evacuating,,,
541357334178824192',"Typhoon hits same place as last year (7000+ killed), deaths already reported http://t.co/luatJHQFiz",injured_or_dead_people,affected_people_and_evacuations,7000+ killed[SEP]deaths already reported,,,
540896449715011586',"UN: 200,000 people have been evacuated in Cebu: http://t.co/0Zx3XyMMGr. @theIRC continues to prepare: http://t.co/yWZyVzjxRL  #Hagupit",affected_people_and_evacuations,affected_people_and_evacuations,"200,000 people have been evacuated",,,
540435062802882560',"LIDEANS, we tried to protect our manger from ""hagupit"". Look, this would be a good evacuation center for the... http://t.co/sJVpHKyos1",affected_people_and_evacuations,affected_people_and_evacuations,a good evacuation center,,,
540042190911594498',"Too early"" for NDRRMC to recommend, insist evacuation for ""Hagupit"" - NDRRMC exec dir Pama | @banderainquirer",affected_people_and_evacuations,affected_people_and_evacuations,insist evacuation,,,
540755734284496896',"Residents now fleeing to the hills in Quinapondan, Eastern Samar. (via @atomaraullo @ANCALERTS ) #Hagupit #RubyPH http://t.co/YbpV4BsS2n",other_useful_information,affected_people_and_evacuations,Residents now fleeing,,,
541199036242345984',"More than 600,000 flee as typhoon blows near eastern Philippines, military on full alert http://t.co/uqXpF6cMCv",displaced_people_and_evacuations,affected_people_and_evacuations,"More than 600,000 flee",,,
542142518901493760',"RT @FoxNews: 2 dead, 900,000 evacuate as #typhoon slams Philippines http://t.co/j2e40vk3mv http://t.co/8RRfUe9DBz",injured_or_dead_people,affected_people_and_evacuations,2 dead,,,
541091001591287810',@AJENews: Half a million people prepare to flee as typhoon #Hagupit approaches Philippines http://t.co/NCJNJXYnMn http://t.co/m9vJT8TkU9,affected_people_and_evacuations,affected_people_and_evacuations,Half a million people prepare to flee,,,
