tweet_id,tweet_text,label,corrected_label,informative_content,confusing_cases
593817049647820802',"RT @Refugees: Our aid lorries delivered #NepalEarthquake relief, by hand where landslides prevented vehicle access http://t.co/WpPfsXOBw6",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Our aid lorries delivered #NepalEarthquake relief,
593470045814181888',Food crisis imminent for 1.4 million ppl in Kathmandu.  How long would you last without food in the markets and water from the tap?,other_useful_information,rescue_volunteering_and_donation_effort,Food crisis imminent for 1.4 million ppl,
593155728128516097',Canadian phone companies waive fees for calls to Nepal - The Globe and Mail http://t.co/y0fpu1EGIs,other_useful_information,rescue_volunteering_and_donation_effort,Canadian phone companies waive fees for calls to Nepal,
592344656286908416',RT @HMOIndia: Bureau of Immigration has been instructed by the HM to give gratis visas to all tourists stranded in Nepal who are coming to …,caution_and_advice,rescue_volunteering_and_donation_effort,Bureau of Immigration has been instructed by the HM to give gratis visas to all tourists stranded,
593145585206632449',"RT @rishibagree: Instead of Food , Medicine or Tents  Ford foundation have sent 100000 copies of Bible To Nepal's Starving Citizens http://…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Ford foundation have sent 100000 copies of Bible To Nepal's Starving Citizens,
592310973039550464',RT @Pakistannews: Pakistan’s two aid planes reach Nepal - Nation http://t.co/xhuZDXFFTn,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Pakistan’s two aid planes reach Nepal,
593380623923941376',Aid with strings. Aftermath of Nepal's earthquake exposes Asia's geopolitical fault lines http://t.co/m744UJsdIx,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Aid with strings,
591940933039427584',RT @EconomicTimes: Foreign Secy S Jaishankar: We will have 5 helicopters positioned in Kathmandu as part of our rescue ops #NepalQuake http…,displaced_people_and_evacuations,rescue_volunteering_and_donation_effort,We will have 5 helicopters positioned in Kathmandu as part of our rescue ops,
592339417756348416',#FollowMe #FF #RT Indian carriers cap fares to and from Nepal: In a bid to pull out as man... http://t.co/ZgH0REYPd4 #FollowBack #Follow,displaced_people_and_evacuations,rescue_volunteering_and_donation_effort,Indian carriers cap fares to and from Nepal,
593154950470848512',RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDo…,other_useful_information,rescue_volunteering_and_donation_effort,India's rescue operations in the villages most affected,
592329254882381825',"RT @ProjectPakistan: #Pak dispatches four C-130 planes carrying a 30-bed field hospital, medical teams,S &amp; R, relief supplies to #Nepal  ht…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"#Pak dispatches four C-130 planes carrying a 30-bed field hospital, medical teams,S &amp; R, relief supplies to #Nepal",
592338913575837697',RT @ksushma140: Nepal govt has asked India for help with respect to rescue &amp;  medical teams.  #MSGHelpEarthquakeVictims http://t.co/VEnxTcF…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Nepal govt has asked India for help with respect to rescue &amp; medical teams,
592343436650356736',RT @pappufromdelhi: @suhelseth PLZ RT Updated list of emergency contact after #NepalEarthquake http://t.co/nVky6fXHbO,other_useful_information,rescue_volunteering_and_donation_effort,Updated list of emergency contact,
592907239352074240',India Steps Up Relief Work in Nepal. Land Routes Operational as Airport Gets Congested http://t.co/FA3Qd8L7FK,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,India Steps Up Relief Work,
593780878779645954',#OlivettaChantal New beautiful pic of baby rescued from Nepal's earthquake rubble: The 4-mont... http://t.co/rx27nTNDqP #OlivettaChantal,missing_trapped_or_found_people,rescue_volunteering_and_donation_effort,New beautiful pic of baby rescued,
593162119601790977',RT @bhimupadhyaya: Japan has pledged to donate $800M to Nepal's reconstruction relief http://t.co/xx8mnTlx8c,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Japan has pledged to donate $800M to Nepal's reconstruction relief,
592797100133453825',"Nepal earthquake: SpiceJet cuts airfare to Re 1, set to operate 2 more flights to Kathmandu https://t.co/kSiRzfyW4Z via @sharethis",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"SpiceJet cuts airfare to Re 1, set to operate 2 more flights to Kathmandu",
593832138379661313',RT @RailMinIndia: 722 zero value tickets provided to the needy by NER #NepalEarthquake ! Zero value tickets for those who need it at T3- MR…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,722 zero value tickets provided to the needy by NER[SEP]Zero value tickets for those who need it,
592909512350240769',RT @itvnews: RAF C-17 aircraft loaded with vital aid supplies to help #NepalEarthquake victims http://t.co/fy2MnYFjNL http://t.co/sbL0jMoEjT,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,RAF C-17 aircraft loaded with vital aid supplies,
592687111804952578',RT @_kamal82: We are sending specialist teams to #Nepal. Please help us maximise the benefit we can offer http://t.co/rapAIujTwF. http://t.…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,We are sending specialist teams to #Nepal,
592692823016787969',RT @rajeshpadmar: RSS appeals for Nepal Earthquake Relief Fund ; RSS rescue works continues in Nepal on Day 3 http://t.co/CkUIHbQiOG http:/…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,RSS appeals for Nepal Earthquake Relief Fund ; RSS rescue works continues in Nepal,
591924112500523009',RT @the_hindu: NDRF teams have been sent to affected areas: @BJPRajnathSingh . #NepalEarthquake,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,NDRF teams have been sent to affected areas,
593696945740218368',Hey Abbott Dr Karl Propaganda Ad's $11 Million Foreign Aid to Nepal after Earthquake $5 Million  Fuck Off! #auspol #InterGenerationalReport,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Hey Abbott Dr Karl Propaganda Ad's $11 Million Foreign Aid to Nepal,
593165958052761600',RT @USAID: We're providing an additional $9 million in assistance for the #NepalQuake emergency response: http://t.co/Zxf93LR2fT http://t.c…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,We're providing an additional $9 million in assistance for the #NepalQuake emergency response,
593824070220689408',"RT @kathmandupost: ""I survived by drinking muddy water,"" says man rescued after 98 hours. #NepalQuake  http://t.co/QRxVOkcbam http://t.co/F…",missing_trapped_or_found_people,rescue_volunteering_and_donation_effort,man rescued,
592344880988299264',RT @AUThackeray: All Shiv Sena MPs will give their 1 month's salary to @PMOIndia 's relief fund for #NepalQuakeRelief . #StandwithNepal,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,All Shiv Sena MPs will give their 1 month's salary to @PMOIndia 's relief fund,
593829038315143168',RT @UNICEF: A girl with safe drinking water at UNICEF-supported informal camp in Kathmandu. #NepalEarthquake. @unicef_nepal http://t.co/gLB…,other_useful_information,affected_people_and_evacuations,A girl with safe drinking water at UNICEF-supported informal camp,affected_people_and_evacuations
592897154378813441',RT @MSF_canada: We're sending a charter plane w an inflatable hospital from Bordeaux tomorrow #NepalEarthquake http://t.co/H8myAZ7buH http:…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,We're sending a charter plane w an inflatable hospital from Bordeaux,
593830830260113410',RT @cnni: This could be the defining image of #NepalQuake; here’s the story of the baby's miracle rescue http://t.co/6i7XLubi5r http://t.co…,missing_trapped_or_found_people,rescue_volunteering_and_donation_effort,the story of the baby's miracle rescue,
593160207775174657',RT @geecologist: Just arrived in Kathmandu to help with @ActionAid relief work. Flew in with many search and rescue teams. #NepalQuake http…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Just arrived in Kathmandu to help with @ActionAid relief work. Flew in with many search and rescue teams,
592638136833867778',"@SrBachchan Embassy of India Kathmandu Control Room Numbers :- +977 - 012081148, 012081141 9818968752 9818968780.",other_useful_information,rescue_volunteering_and_donation_effort,Control Room Numbers,
592344542306705408',RT @SpokespersonMoD: #NepalEarthquake IAF helicopters are flying almost non-stop since this morning.,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,IAF helicopters are flying almost non-stop,
593776885148086272',Budget airline offers free flights to #Nepal for aid agencies http://t.co/NlXfF7ZVs7 #news http://t.co/XNYY5wTX91,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Budget airline offers free flights to #Nepal for aid agencies,
592945195605467136',International aid &amp; rescue teams continue to arrive in Kathmandu after the #NepalEarthquake http://t.co/A6MXYgbKkt,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,International aid &amp; rescue teams continue to arrive in Kathmandu,
592666409576038400',"Dogs from India, France assisting in rescue operations in Nepal http://t.co/ujYYYwqHBw  https://t.co/rVIwZH5Jon",missing_trapped_or_found_people,rescue_volunteering_and_donation_effort,"Dogs from India, France assisting in rescue operations in Nepal",
592622234239246337',RT @SkymetWeather: #NepalEarthquake IMPORTANT: Please RT! @ViberHelp has announced free calls to #Nepal. #Kathmandu http://t.co/NxfJweeAHh,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,@ViberHelp has announced free calls to #Nepal,
593044582000132096',"RT @amitshahdelhi: Delhi flies rescue teams, medical supplies &amp; relief material to Nepal; http://t.co/6zDlZkOg5G #Salute2IndianForces",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"Delhi flies rescue teams, medical supplies &amp; relief material to Nepal",
592344960873144320',"RT @linkinpark: 7.8 quake has devastated Nepal. Join us in supporting @MusicforRelief providing immediate medical care, food, &amp; water. Text…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"Join us in supporting @MusicforRelief providing immediate medical care, food, &amp; water",
593702475309297664',Doctors From Chennai Work Together To Help Victims Of The Nepal Earthquake http://t.co/ESByOk4mp3,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Doctors From Chennai Work Together To Help Victims,
592892552698802176',"RT @textmeapp: In support to the population impacted by the recent Earthquake in Nepal, we have decided to offer free calls to Nepal for th…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,we have decided to offer free calls to Nepal,
592693881252229121',"RT @AAPYouthwing: #Delhi Govt has decided to send 25,000 packets of food &amp; 25,000 pouches of drinking water as relief for the people of ear…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"#Delhi Govt has decided to send 25,000 packets of food &amp; 25,000 pouches of drinking water as relief",
592140944893288448',"RT @BBCWorld: Hospitals in south-east Nepal ""already overwhelmed"" by #earthquake victims, says @PlanGlobal http://t.co/xmGtCc2QIL http://t.…",injured_or_dead_people,rescue_volunteering_and_donation_effort,"Hospitals in south-east Nepal ""already overwhelmed""",
592104651790487552',"#US #Nepal #JohnKerry – U.S. sending disaster team, initial $1 million to… http://t.co/xsXK8pQP3o #News #Business http://t.co/3BCq30PAXp",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"U.S. sending disaster team, initial $1 million",
592344769298325504',RT @victoriavaneyk: Over $350 now donated to @RedCross via @ChangeTip That's over $100 every hour! It's easy. Have you donated yet? #NepalE…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Over $350 now donated,
592770703000231937',Canine Disaster Search Teams enroute to #Nepal - click for our latest update http://t.co/pxhUOZPlIr #searchdogs #USAR http://t.co/sxL4UyC6r7,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Canine Disaster Search Teams enroute,
593122521328656384',Rescuers in Nepal reach remote communities http://t.co/ohF8IfrxvZ,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Rescuers in Nepal reach remote communities,
592341709532635138',RT @love_belfast: Oxfam Ireland have launched emergency appeal.  https://t.co/TC8Utc3aSH or on 08000304055 #NepalEarthquake http://t.co/mK6…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Oxfam Ireland have launched emergency appeal,
592276631839866880',RT @SpokespersonMoD: #NepalEarthquake Two C-17 Globemaster III of #IAF are being loaded with medical supplies at Hindon n wd be taking off …,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Two C-17 Globemaster III of #IAF are being loaded with medical supplies,
593103929942081536',"RT @CARE: Blankets, soap, clothing &amp; more arrive in #Nepal today. We need your help: http://t.co/piwy30FBMK #NepalEarthquake http://t.co/ci…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"Blankets, soap, clothing &amp; more arrive in #Nepal",
593019982289731585',C-130 aircraft leaves for Kathmandu to rescue 59 Pakistanis http://t.co/9CP0ReBUYf,displaced_people_and_evacuations,rescue_volunteering_and_donation_effort,C-130 aircraft leaves for Kathmandu to rescue 59 Pakistanis,
592974686796910592',RT @tm_insider: Putrajaya moves to bring Malaysians back from Nepal today – Bernama http://t.co/OkIaJgL5ou,displaced_people_and_evacuations,affected_people_and_evacuations,bring Malaysians back from Nepal,affected_people_and_evacuations
593525437113860096',RT @KITV4: Students at UH Manoa are spending the day raising money for Nepal. http://t.co/n8HYv4taN1,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Students at UH Manoa are spending the day raising money for Nepal,
593443169322143746',"#IAF helping the rescued persons #NepalEarthquake deboard at Air Force Station Palam, New Delhi. http://t.co/q7lqG21j3Z",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,#IAF helping the rescued persons,
592992170954600448',"Doctor assembles team to help find, save Nepal quake victims #KansasCity http://t.co/ZpSqf18L61  — The NewZ (TheUsNewz) April 28, 2015  —…",missing_trapped_or_found_people,rescue_volunteering_and_donation_effort,"Doctor assembles team to help find, save Nepal quake victims",
593108456229445633',"RT @UNICEF_uk: #NepalEarthquake - deadliest earthquake for more than 80 yrs, leaving millions of children in danger Donate &gt; http://t.co/1l…",donation_needs_or_offers_or_volunteering_services,affected_people_and_evacuations,millions of children in danger,affected_people_and_evacuations
592306011991605248',"PAKISTAN SENDS RESCUE TEAMS TO NEPAL  Pakistan has sent four C-130 aircraft carrying a 30-bed hospital, special... http://t.co/wYpCjFr3Gf",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,PAKISTAN SENDS RESCUE TEAMS TO NEPAL Pakistan has sent four C-130 aircraft carrying a 30-bed hospital,
592328147510697985',RT @humanityfirstuk: HF ready to send medical team and survival kits to #Nepal. Pls donate to our disaster fund at http://t.co/OLcpJIQU4X h…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,HF ready to send medical team and survival kits to #Nepal,
593828292584742912',RT @a_campolina: Great to see our @ActionAid international and Nepalese teams working tirelessly with local movements in our response in #N…,other_useful_information,rescue_volunteering_and_donation_effort,our @ActionAid international and Nepalese teams working tirelessly with local movements,
592343385085607936',RT @MEAcontrolroom: #NepalEarthquake  Nepal Government Helpline 0097714200257,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Government Helpline,
593824046111830017',"2 #IAF MLHs positioned at Pokahra.  Helicopter sorties scheduled for Lukla, Dhading, Millanchi and Gorkha today #NepalEarthquake",other_useful_information,rescue_volunteering_and_donation_effort,"Helicopter sorties scheduled for Lukla, Dhading, Millanchi and Gorkha",
599919647467646977',RT @oliviawilde: H2O is crucial for survival in Nepal. This great org already has infrastructure set up to distribute in rural areas. http:…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,H2O is crucial for survival in Nepal,
600202543348617216',"RT @narendramodi: From Raxaul, Bihar, which is on the India-Nepal border my colleague @dpradhanbjp is co-ordinating relief work to help aff…",other_useful_information,rescue_volunteering_and_donation_effort,my colleague @dpradhanbjp is co-ordinating relief work,
592244109898850305',RT @IndianDiplomacy: RT: @SpokespersonMoD  #NepalEarthquake C-130J carrying stranded Indians has landed at Palam a short while ago.,displaced_people_and_evacuations,affected_people_and_evacuations,C-130J carrying stranded,affected_people_and_evacuations
592109250366705664',RT @SpokespersonMoD: #NepalEarthquake One C-130J Superhercules aircraft of IAF has just taken off from Hindan with NDRF teams for Kathmandu…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,One C-130J Superhercules aircraft of IAF has just taken off from Hindan with NDRF teams,
592939161444687872',"Around 200 Rescued From Mount Everest After Earthquake, Says Nepal Tourism Ministry: Around 200 people have been rescued from the Mou...",displaced_people_and_evacuations,rescue_volunteering_and_donation_effort,Around 200 Rescued[SEP]Around 200 people have been rescued,
592336789873950720',"RT @AnupKaphle: Some people in Kathmandu literally spent their night out in streets, laying carpets on streetsides. #Nepal http://t.co/fDoa…",other_useful_information,affected_people_and_evacuations,Some people in Kathmandu literally spent their night out in streets,affected_people_and_evacuations
591939069350817792',"RT @tajinderbagga: India sent 4 Ton relief material, Team of doctors, NDRF, JCBs, food, water, medicines to Nepal.",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"sent 4 Ton relief material, Team of doctors, NDRF, JCBs, food, water, medicines to Nepal",
592700411204771840',RT @decappeal: The 7.8 earthquake in Nepal has left thousands of families in need of aid. Your gift can help. Please give now. https://t.co…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,left thousands of families in need of aid,
591933372605181954',Foreign Secretary S Jaishankar: We have already started rescue efforts for the #NepalQuake,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,We have already started rescue efforts,
592332055477751808',"RT @AnantBhan: Colleagues in Nepal: acute need for orthopaedic surgeons and cardiothoracic surgeons, trauma specialists #NepalQuakeRelief @…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"acute need for orthopaedic surgeons and cardiothoracic surgeons, trauma specialists",
591908818050805760',"Nepal earthquake triggers Everest avalanche, climbers at risk - The Times of India http://t.co/4jLUdYSzD4",other_useful_information,other_useful_information,Nepal earthquake triggers Everest avalanche,other_useful_information
593515635608457217',"President Obama calls Nepal's prime minister, offers help with #earthquake recovery http://t.co/SIm6mHZ3yt",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"President Obama calls Nepal's prime minister, offers help with #earthquake recovery",
592637842515329024',RT @ConceptGrp: Emirates Red Crescent sends aid to quake-hit Nepal http://t.co/ARAanVtaPQ,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Emirates Red Crescent sends aid to quake-hit Nepal,
593121436421730304',"RT @eu_echo: EU response to the #NepalQuake: €3M for immediate response + MS contributions, experts, EUCPM: http://t.co/4zMxJL6QEe http://t…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,"€3M for immediate response + MS contributions, experts, EUCPM",
592828455034744834',"#InTheNews: PH condoles with Nepal; gov’t, PRC to send aid: MANILA, Philippines–The Phili... http://t.co/s9YW7gU72V #Manila #Philippines",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,PRC to send aid,
593828498596179968',"RT @ashramindia: Under Bapuji's guidance, Asaram Bapu Ji Ashram comes ahead with MASSIVE relief work for #Nepal earthquake victims! http://…",donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Asaram Bapu Ji Ashram comes ahead with MASSIVE relief work for #Nepal earthquake victims,
592759443076587521',RT @TimesNow: National Helpline by National Disaster Management Authority for Nepal Earthquake open - Number: 011-1078 #NepalEarthquake,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,National Helpline,
593156830488109056',RT @RoyalAirForceUK: An RAF C-17 has left for Nepal carrying vital UK aid stocks and a team of Gurkha engineers http://t.co/wknSU3aWDy http…,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,An RAF C-17 has left for Nepal carrying vital UK aid stocks and a team of Gurkha engineers,
593107706594000896',RT @sprague_paul: Facebook Adds Donate Button Atop News Feeds to Aid Earthquake-Ravaged Nepal http://t.co/HaodnOFlWX,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,Facebook Adds Donate Button Atop News Feeds to Aid Earthquake-Ravaged Nepal,
593590668032872448',@jimmyfallon I am on my way to Nepal to help rebuild a shelter for 35 orphans. Could you help fund me? Thank you! http://t.co/B0FOhHeDtJ,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,I am on my way to Nepal to help rebuild a shelter for 35 orphans,
592343247143309313',RT @ANI_news: Lucknow: UP Government sends 21 trucks carrying relief material to the affected in #NepalEarthquake http://t.co/9bwSwKW3hI,donation_needs_or_offers_or_volunteering_services,rescue_volunteering_and_donation_effort,UP Government sends 21 trucks carrying relief material to the affected,
593188956763742208',"37 search &amp; rescue teams including 36 dogs, search for survivors in Nepal. #Donate now. - http://t.co/k2PjivRvNi http://t.co/4NbQyWzCSv",donation_needs_or_offers_or_volunteering_services,affected_people_and_evacuations,search for survivors,
